Date,Mkt-RF,SMB,HML,RF,SANDP,MSFT,FORD,PG
1-Jan,-1.44,1.19,3.33,0.14,1140.21,21.263458,10.170905,26.49218
1-Feb,-2.29,-1.1,2.5,0.13,1100.67,19.471205,9.959874,27.632713
1-Mar,4.24,4.23,1.1,0.13,1153.79,20.128695,11.037522,29.359957
1-Apr,-5.2,5.94,3.93,0.15,1111.93,17.441978,10.709541,29.415363
1-May,-1.38,-3.21,1.69,0.14,1079.25,16.991413,11.813964,29.306087
1-Jun,-7.21,4.26,0.13,0.13,1014.02,18.256342,10.776898,29.224281
1-Jul,-8.18,-5.3,-3.41,0.15,903.59,16.013512,9.072802,29.348957
1-Aug,0.5,-2.44,2.49,0.14,912.55,16.38065,7.988271,29.385105
1-Sep,-10.35,2.57,1.31,0.14,867.81,14.598401,6.651237,29.62709
1-Oct,7.84,-2.9,-5.46,0.14,854.63,17.845821,5.741783,29.31883
1-Nov,5.96,2.84,-1.15,0.12,909.93,19.250927,7.817197,28.147072
1-Dec,-5.76,0,2.25,0.11,899.18,17.255083,6.388398,28.616579
1-Jan,-2.57,1.39,-0.93,0.1,895.84,15.839956,6.25788,28.493382
1-Feb,-1.88,-0.34,-1.45,0.09,837.03,15.819931,5.775561,27.388575
1-Mar,1.09,0.89,-2.09,0.1,846.63,16.21233,5.220219,29.794174
1-Apr,8.22,0.57,1.03,0.1,890.03,17.123058,7.150033,30.061844
1-May,6.05,4.7,-0.3,0.09,935.96,16.480183,7.360189,30.861622
1-Jun,1.42,1.67,0.66,0.1,988,17.169935,7.703666,29.974304
1-Jul,2.35,5.25,-1.15,0.07,992.54,17.685564,7.752733,29.533997
1-Aug,2.34,2.6,2.03,0.07,989.53,17.759232,8.17874,29.490236
1-Sep,-1.24,0.79,0.02,0.08,1019.44,18.616388,7.619812,31.358507
1-Oct,6.08,2.68,1.75,0.07,1038.73,17.504763,8.582014,33.206512
1-Nov,1.35,2.01,1.86,0.07,1049.9,17.313395,9.414969,32.669216
1-Dec,4.29,-3.01,2.42,0.08,1080.64,18.431255,11.412084,33.90485
1-Jan,2.15,2.8,1.98,0.07,1132.52,18.61982,10.370732,34.312187
1-Feb,1.4,-1.43,0.49,0.06,1143.36,17.865591,9.869175,34.958824
1-Mar,-1.32,1.75,0.21,0.09,1123.98,16.788136,9.739977,35.767059
1-Apr,-1.83,-2.06,-2.62,0.08,1133.36,17.596226,11.024763,36.077389
1-May,1.17,-0.21,-0.39,0.06,1102.78,17.663574,10.72562,36.94627
1-Jun,1.86,2.26,1.38,0.08,1132.76,19.232616,11.303429,37.309486
1-Jul,-4.06,-3.79,4.11,0.1,1105.85,19.185482,10.631724,35.740089
1-Aug,0.08,-1.63,1.03,0.11,1088.94,18.384121,10.260095,38.534801
1-Sep,1.6,3.04,-0.25,0.11,1117.66,18.674746,10.216467,37.261112
1-Oct,1.43,0.31,-0.62,0.11,1117.21,18.890867,9.474771,35.236954
1-Nov,4.54,3.91,1.8,0.15,1168.94,18.10741,10.390068,36.994984
1-Dec,3.43,0.12,-0.06,0.16,1199.21,20.113697,10.727123,38.101791
1-Jan,-2.76,-1.52,1.96,0.16,1181.41,19.78248,9.650013,36.822041
1-Feb,1.89,-0.5,1.64,0.16,1199.63,18.939392,9.339588,36.889912
1-Mar,-1.97,-1.4,1.56,0.21,1194.9,18.250292,8.365023,36.827381
1-Apr,-2.61,-4,-0.35,0.21,1164.43,19.103527,6.72598,37.626472
1-May,3.65,2.88,-0.83,0.24,1178.28,19.481077,7.447198,38.519833
1-Jun,0.57,2.62,2.62,0.23,1202.25,18.815693,7.641214,36.84354
1-Jul,3.92,2.93,-0.51,0.24,1222.24,19.398951,8.014321,38.855106
1-Aug,-1.22,-0.92,1.27,0.3,1224.27,20.739687,7.508621,38.949047
1-Sep,0.49,-0.58,0.77,0.29,1225.92,19.547665,7.425779,41.743164
1-Oct,-2.02,-1.21,0.23,0.27,1191.96,19.524864,6.26597,39.307095
1-Nov,3.61,0.91,-1.18,0.31,1237.37,21.02911,6.199033,40.353672
1-Dec,-0.25,-0.46,0.44,0.32,1262.07,19.92498,5.886415,40.840542
1-Jan,3.04,5.42,1.12,0.35,1278.73,21.448881,6.542154,41.793106
1-Feb,-0.3,-0.38,-0.25,0.34,1276.65,20.473581,6.148362,42.48988
1-Mar,1.46,3.55,0.61,0.37,1293.74,20.8029,6.140648,40.859207
1-Apr,0.73,-1.34,2.59,0.36,1302.17,18.463436,5.361495,41.270412
1-May,-3.57,-3.04,2.55,0.43,1290.01,17.316643,5.601292,38.676311
1-Jun,-0.35,-0.35,0.87,0.4,1253.17,17.883045,5.421364,39.638748
1-Jul,-0.78,-4.08,2.94,0.4,1260.24,18.466354,5.217965,40.066505
1-Aug,2.03,0.9,-1.72,0.42,1287.15,19.725079,6.595746,44.376686
1-Sep,1.84,-1.37,0.05,0.41,1317.74,21.068773,6.375099,44.434044
1-Oct,3.23,1.73,-0.04,0.41,1363.38,22.116436,6.524823,45.444885
1-Nov,1.71,0.86,0.07,0.42,1388.64,22.617157,6.40662,45.240036
1-Dec,0.87,-1.1,3.16,0.4,1416.42,23.080967,5.918047,46.306358
1-Jan,1.4,0.1,-0.11,0.44,1424.16,23.853937,6.40662,46.738659
1-Feb,-1.96,1.32,-0.09,0.38,1444.8,21.774641,6.233255,45.963573
1-Mar,0.68,-0.06,-0.22,0.43,1406.95,21.617455,6.217494,45.724693
1-Apr,3.49,-2.06,-1.15,0.44,1463.64,23.223049,6.335698,46.622391
1-May,3.24,0.03,-0.05,0.41,1511.14,23.804794,6.572105,46.261089
1-Jun,-1.96,0.77,-1.13,0.4,1514.19,22.932539,7.423167,44.543129
1-Jul,-3.73,-2.51,-3.34,0.4,1520.71,22.559017,6.706068,45.030853
1-Aug,0.92,-0.13,-2.24,0.42,1454.62,22.356697,6.154452,47.809242
1-Sep,3.22,-2.29,-1.87,0.32,1497.12,23.005114,6.690307,51.491364
1-Oct,1.8,0.22,-2.59,0.32,1539.66,28.744678,6.989756,50.891106
1-Nov,-4.83,-2.63,-1.18,0.34,1463.39,26.238007,5.918047,54.439674
1-Dec,-0.87,0.2,-0.52,0.27,1479.22,27.891703,5.303388,54.012974
1-Jan,-6.36,-0.89,3.65,0.21,1378.76,25.541286,5.232466,48.127609
1-Feb,-3.09,-0.23,-0.95,0.13,1354.87,21.310514,5.145785,48.932438
1-Mar,-0.93,0.94,-0.15,0.17,1316.94,22.321413,4.507485,51.80864
1-Apr,4.6,-1.64,-0.96,0.18,1370.47,22.431522,6.509064,49.575699
1-May,1.86,3.21,-1.38,0.18,1403.22,22.274223,5.35855,49.116062
1-Jun,-8.44,1.27,-2.43,0.17,1341.25,21.716801,3.790386,45.219509
1-Jul,-0.77,2.47,5.81,0.15,1257.33,20.303745,3.782506,48.692196
1-Aug,1.53,3.61,1.56,0.13,1281.47,21.543118,3.514578,52.206844
1-Sep,-9.24,-1.13,6.33,0.15,1216.95,21.153511,4.097713,52.146984
1-Oct,-17.23,-2.33,-2.89,0.08,968.8,17.697933,1.725768,48.293388
1-Nov,-7.86,-2.99,-5.94,0.03,883.04,16.025621,2.11978,48.459091
1-Dec,1.74,3.59,-0.24,0,877.56,15.511801,1.80457,46.553864
1-Jan,-8.12,-0.01,-11.1,0,865.58,13.644643,1.473601,41.0415
1-Feb,-10.1,0.17,-7.25,0.01,805.23,12.886605,1.576044,36.529087
1-Mar,8.95,-0.09,3.53,0.02,757.13,14.758518,2.072498,35.710072
1-Apr,10.19,4.83,5.46,0.01,848.15,16.276951,4.712372,37.492176
1-May,5.21,-2.33,-0.21,0,902.41,16.783087,4.531127,39.728302
1-Jun,0.43,2.61,-2.71,0.01,926.12,19.21818,4.783295,39.085789
1-Jul,7.72,2.07,5.28,0.01,935.82,19.01605,6.304177,42.458954
1-Aug,3.33,-0.9,7.76,0.01,1009.73,19.929657,5.988968,41.718914
1-Sep,4.08,2.45,0.92,0.01,1044.55,20.911688,5.681639,44.656422
1-Oct,-2.59,-4.22,-4.17,0,1067.66,22.545919,5.516156,44.718109
1-Nov,5.56,-2.49,-0.17,0,1088.07,23.911846,7.005517,48.43861
1-Dec,2.75,6.11,0.01,0.01,1110.38,24.89135,7.88022,47.102375
1-Jan,-3.36,0.38,0.31,0,1123.58,23.013071,8.542161,47.817108
1-Feb,3.4,1.2,3.16,0,1089.16,23.413229,9.251381,49.514103
1-Mar,6.31,1.42,2.1,0.01,1152.05,24.031397,9.905437,49.506283
1-Apr,2,4.98,2.81,0.01,1197.32,25.056971,10.260046,48.637733
1-May,-7.89,0.05,-2.38,0.01,1125.06,21.167976,9.243501,48.1684
1-Jun,-5.56,-1.97,-4.5,0.01,1083.36,18.964071,7.943264,47.293182
1-Jul,6.93,0.16,-0.27,0.01,1079.8,21.271736,10.063042,48.223591
1-Aug,-4.77,-3,-1.95,0.01,1087.28,19.343184,8.89677,47.41695
1-Sep,9.54,3.92,-3.12,0.01,1122.08,20.291504,9.645389,47.655365
1-Oct,3.88,1.15,-2.59,0.01,1171.58,22.097773,11.134752,50.516098
1-Nov,0.6,3.7,-0.9,0.01,1198.89,20.929499,12.561071,48.902546
1-Dec,6.82,0.7,3.81,0.01,1241.53,23.267279,13.23089,51.513031
1-Jan,1.99,-2.47,0.81,0.01,1282.62,23.117222,12.568951,50.552116
1-Feb,3.49,1.52,1.09,0.01,1321.12,22.158522,11.859733,50.862339
1-Mar,0.45,2.6,-1.55,0.01,1304.49,21.291574,11.74941,49.692631
1-Apr,2.9,-0.34,-2.51,0,1331.51,21.736027,12.190702,52.354744
1-May,-1.27,-0.7,-2.06,0,1338.31,20.972919,11.757291,54.49704
1-Jun,-1.75,-0.18,-0.31,0,1287.29,21.946026,10.866824,51.707123
1-Jul,-2.36,-1.31,-1.23,0,1325.19,23.127737,9.62175,50.01527
1-Aug,-5.99,-3.06,-2.44,0.01,1185.31,22.452477,8.762806,52.220917
1-Sep,-7.59,-3.48,-1.46,0,1173.88,21.141701,7.620173,51.810898
1-Oct,11.35,3.41,-0.17,0,1207.22,22.619667,9.204099,52.475143
1-Nov,-0.28,-0.17,-0.35,0,1226.42,21.727795,8.353037,53.382481
1-Dec,0.74,-0.71,1.74,0,1243.32,22.21661,8.47912,55.15168
1-Jan,5.05,2.15,-1.09,0,1300.58,25.271822,9.787234,52.11755
1-Feb,4.42,-1.75,0.09,0,1352.49,27.163143,9.794001,56.350487
1-Mar,3.11,-0.61,0.87,0,1389.24,27.789909,9.873112,56.008816
1-Apr,-0.85,-0.52,-0.47,0,1386.43,27.583172,8.923775,53.033798
1-May,-6.19,0.02,-0.62,0.01,1341.27,25.1453,8.390337,52.347885
1-Jun,3.89,0.77,0.44,0,1323.48,26.524225,7.619634,51.473885
1-Jul,0.79,-2.58,-0.25,0,1359.78,25.553089,7.341545,54.23877
1-Aug,2.55,0.41,1.28,0.01,1403.45,26.723654,7.421,56.955612
1-Sep,2.73,0.5,1.52,0.01,1443.42,25.975487,7.876782,58.795055
1-Oct,-1.76,-1.14,3.79,0.01,1437.82,24.910635,8.915304,58.693348
1-Nov,0.78,0.59,-0.96,0.01,1394.51,23.234793,9.191336,59.67955
1-Dec,1.18,1.47,3.55,0.01,1422.29,23.504921,10.39544,58.021553
1-Jan,5.57,0.39,0.92,0,1480.4,24.156122,10.39544,64.234802
1-Feb,1.29,-0.45,0,0,1512.31,24.464123,10.19705,65.634384
1-Mar,4.03,0.79,-0.26,0,1550.83,25.385376,10.633719,66.392563
1-Apr,1.55,-2.44,0.59,0,1570.7,29.369312,11.086562,66.142693
1-May,2.8,1.67,2.55,0,1639.84,30.966436,12.679598,66.619995
1-Jun,-1.2,1.22,-0.19,0,1618.77,30.861908,12.601696,66.819603
1-Jul,5.65,1.86,0.55,0,1668.68,28.44943,13.750267,69.692375
1-Aug,-2.71,0.3,-2.78,0,1670.09,29.843309,13.265868,68.107079
1-Sep,3.77,2.94,-1.18,0,1687.17,29.94562,13.823054,66.09597
1-Oct,4.18,-1.49,1.15,0,1720.03,31.862221,14.019705,70.607872
1-Nov,3.12,1.24,0.24,0,1783.54,34.309704,14.075048,74.217796
1-Dec,2.81,-0.5,-0.3,0,1807.78,33.917126,12.715342,71.741524
1-Jan,-3.32,0.87,-2.08,0,1822.36,34.30698,12.32803,67.520378
1-Feb,4.65,0.33,-0.39,0,1817.04,34.733093,12.784034,69.842506
1-Mar,0.43,-1.89,5.09,0,1863.52,37.441544,12.958473,71.565033
1-Apr,-0.19,-4.25,1.14,0,1864.26,36.902618,13.415344,73.296463
1-May,2.06,-1.83,-0.26,0,1889.77,37.39587,13.762962,72.306847
1-Jun,2.61,3.06,-0.74,0,1947.09,38.358791,14.432692,70.33786
1-Jul,-2.04,-4.23,0.01,0,1973.1,39.701805,14.248515,69.201218
1-Aug,4.24,0.37,-0.57,0,1961.53,41.789921,14.679444,74.977455
1-Sep,-1.97,-3.82,-1.22,0,1993.23,42.911755,12.470362,75.545807
1-Oct,2.52,4.23,-1.69,0,1937.27,43.457882,11.880148,78.730385
1-Nov,2.55,-2.06,-2.99,0,2044.57,44.253918,13.381057,82.206886
1-Dec,-0.06,2.54,2.07,0,2054.27,43.266247,13.185402,82.806862
1-Jan,-3.11,-0.57,-3.47,0,2028.18,37.63092,12.513372,76.625214
1-Feb,6.13,0.53,-1.77,0,2082.2,40.844452,14.041803,77.939247
1-Mar,-1.12,3.05,-0.45,0,2079.99,38.142635,13.869931,75.018707
1-Apr,0.59,-2.97,1.85,0,2094.86,45.628563,13.577753,72.793961
1-May,1.36,0.94,-1.33,0,2111.94,43.958771,13.159269,72.345825
1-Jun,-1.53,2.81,-0.81,0,2099.29,41.685722,13.020476,72.207397
1-Jul,1.54,-4.15,-4.14,0,2094.14,44.093388,12.864334,70.786133
1-Aug,-6.04,0.49,2.69,0,2039.87,41.090885,12.154517,65.755135
1-Sep,-3.08,-2.64,0.53,0,1944.41,42.065155,11.891622,66.936806
1-Oct,7.75,-1.98,-0.09,0,2024.81,50.029591,12.978257,71.068024
1-Nov,0.56,3.64,-0.51,0,2080.62,51.654785,12.685414,70.260986
1-Dec,-2.17,-2.81,-2.57,0.01,2054.08,53.084164,12.472959,74.551392
1-Jan,-5.77,-3.39,2.1,0.01,1918.6,52.711006,10.569704,76.691887
1-Feb,-0.07,0.78,-0.48,0.02,1904.42,48.682812,11.447788,76.034531
1-Mar,6.96,0.89,1.14,0.02,2021.95,53.224377,12.353729,77.947464
1-Apr,0.92,0.67,3.25,0.01,2075.54,48.059025,12.408635,75.873543
1-May,1.78,-0.26,-1.8,0.01,2065.55,51.075367,12.480731,77.373459
1-Jun,-0.05,0.65,-1.49,0.02,2083.89,49.656723,11.629562,80.839218
1-Jul,3.95,2.64,-1.13,0.02,2148.9,55.003773,11.712828,81.71759
1-Aug,0.5,1.17,3.34,0.02,2170.95,55.760704,11.785138,84.012985
1-Sep,0.25,2.01,-1.49,0.02,2157.69,56.244946,11.289414,86.360855
1-Oct,-2.02,-4.36,4.16,0.02,2143.02,58.510365,10.980755,83.522247
1-Nov,4.86,5.48,8.27,0.01,2164.99,58.842373,11.325895,79.958748
1-Dec,1.82,0.08,3.61,0.03,2246.63,61.088055,11.48688,81.52961
1-Jan,1.94,-1.05,-2.68,0.04,2275.12,63.555569,11.704687,84.942841
1-Feb,3.57,-1.99,-1.79,0.04,2329.91,62.896912,12.056902,89.007439
1-Mar,0.17,1.2,-3.17,0.03,2366.82,65.137604,11.200506,87.815071
1-Apr,1.09,0.73,-1.91,0.05,2358.84,67.709076,11.036924,85.35215
1-May,1.06,-2.54,-3.75,0.06,2388.33,69.073936,10.844345,86.754181
1-Jun,0.78,2.15,1.32,0.06,2430.06,68.564697,10.912611,85.828438
1-Jul,1.87,-1.42,-0.28,0.07,2431.39,72.314713,10.941868,89.442787
1-Aug,0.17,-1.71,-2.26,0.07,2477.1,74.373741,10.894718,91.583717
1-Sep,2.51,4.54,3.04,0.09,2474.42,74.489998,11.82319,90.303314
