DATE,CCLACBW027SBOG
2000-07-01,211.6250000000000000
2000-08-01,216.5897800000000000
2000-09-01,220.3299750000000000
2000-10-01,220.5455500000000000
2000-11-01,222.2730400000000000
2000-12-01,228.0749500000000000
2001-01-01,231.7206000000000000
2001-02-01,229.8770000000000000
2001-03-01,227.6763250000000000
2001-04-01,231.8938500000000000
2001-05-01,235.8263200000000000
2001-06-01,233.3569000000000000
2001-07-01,232.1161750000000000
2001-08-01,233.1615400000000000
2001-09-01,231.0355000000000000
2001-10-01,232.9509000000000000
2001-11-01,239.4466000000000000
2001-12-01,242.6647000000000000
2002-01-01,241.9318400000000000
2002-02-01,241.1483750000000000
2002-03-01,239.9595500000000000
2002-04-01,245.6931000000000000
2002-05-01,245.5363800000000000
2002-06-01,243.7472000000000000
2002-07-01,239.9392200000000000
2002-08-01,248.7095500000000000
2002-09-01,253.2359750000000000
2002-10-01,255.3003000000000000
2002-11-01,252.3322500000000000
2002-12-01,256.0906750000000000
2003-01-01,252.6437600000000000
2003-02-01,247.5309750000000000
2003-03-01,244.2059250000000000
2003-04-01,240.4658200000000000
2003-05-01,248.8483250000000000
2003-06-01,245.0316000000000000
2003-07-01,245.7747200000000000
2003-08-01,245.0954500000000000
2003-09-01,242.9492750000000000
2003-10-01,239.4672600000000000
2003-11-01,271.1789000000000000
2003-12-01,280.7268200000000000
2004-01-01,284.8026250000000000
2004-02-01,282.6798750000000000
2004-03-01,279.4907400000000000
2004-04-01,281.5091500000000000
2004-05-01,284.3763500000000000
2004-06-01,287.1618600000000000
2004-07-01,287.7097000000000000
2004-08-01,289.4464000000000000
2004-09-01,292.2721200000000000
2004-10-01,290.7058500000000000
2004-11-01,288.0883750000000000
2004-12-01,295.2928800000000000
2005-01-01,306.4174750000000000
2005-02-01,299.5419250000000000
2005-03-01,300.2139400000000000
2005-04-01,301.7635750000000000
2005-05-01,299.2724000000000000
2005-06-01,300.8877000000000000
2005-07-01,302.0601250000000000
2005-08-01,301.3774800000000000
2005-09-01,303.3733500000000000
2005-10-01,294.9291500000000000
2005-11-01,299.9007200000000000
2005-12-01,304.0822500000000000
2006-01-01,304.2130000000000000
2006-02-01,298.0576500000000000
2006-03-01,292.7657000000000000
2006-04-01,294.6855250000000000
2006-05-01,300.8663600000000000
2006-06-01,298.1239500000000000
2006-07-01,299.2813250000000000
2006-08-01,302.6357000000000000
2006-09-01,303.3172000000000000
2006-10-01,300.0515000000000000
2006-11-01,302.5623800000000000
2006-12-01,313.0323000000000000
2007-01-01,316.0960200000000000
2007-02-01,311.0376500000000000
2007-03-01,303.0216000000000000
2007-04-01,307.5688750000000000
2007-05-01,310.2987000000000000
2007-06-01,314.9897750000000000
2007-07-01,316.7880750000000000
2007-08-01,316.3105800000000000
2007-09-01,321.7912250000000000
2007-10-01,320.1957000000000000
2007-11-01,329.3208500000000000
2007-12-01,340.9655000000000000
2008-01-01,339.6511000000000000
2008-02-01,332.3778000000000000
2008-03-01,329.6903000000000000
2008-04-01,328.5954000000000000
2008-05-01,330.4508500000000000
2008-06-01,330.2979250000000000
2008-07-01,333.8249000000000000
2008-08-01,340.4284750000000000
2008-09-01,344.9739250000000000
2008-10-01,371.5416600000000000
2008-11-01,381.4009250000000000
2008-12-01,384.0649800000000000
2009-01-01,394.1548250000000000
2009-02-01,396.3074000000000000
2009-03-01,386.9800250000000000
2009-04-01,372.6843000000000000
2009-05-01,364.8008000000000000
2009-06-01,359.0939500000000000
2009-07-01,356.7328400000000000
2009-08-01,355.6914250000000000
2009-09-01,351.1058200000000000
2009-10-01,345.6195500000000000
2009-11-01,344.1058750000000000
2009-12-01,336.7251600000000000
2010-01-01,324.6301500000000000
2010-02-01,319.1969750000000000
2010-03-01,382.4376800000000000
2010-04-01,648.3824750000000000
2010-05-01,641.4526500000000000
2010-06-01,632.5114000000000000
2010-07-01,627.0871750000000000
2010-08-01,622.7649250000000000
2010-09-01,617.3448200000000000
2010-10-01,611.4396000000000000
2010-11-01,608.1944500000000000
2010-12-01,607.1599400000000000
2011-01-01,604.5095000000000000
2011-02-01,602.2467000000000000
2011-03-01,600.3904000000000000
2011-04-01,597.8483500000000000
2011-05-01,596.0188250000000000
2011-06-01,599.7927000000000000
2011-07-01,600.7781750000000000
2011-08-01,600.3485600000000000
2011-09-01,600.4284500000000000
2011-10-01,601.1539000000000000
2011-11-01,601.3019800000000000
2011-12-01,601.6536250000000000
2012-01-01,601.4384750000000000
2012-02-01,599.8547000000000000
2012-03-01,600.0283250000000000
2012-04-01,599.3177000000000000
2012-05-01,608.6368000000000000
2012-06-01,608.9305750000000000
2012-07-01,606.8762250000000000
2012-08-01,608.0042000000000000
2012-09-01,607.6887250000000000
2012-10-01,607.7708800000000000
2012-11-01,608.7214750000000000
2012-12-01,606.7714750000000000
2013-01-01,607.7307400000000000
2013-02-01,609.3566500000000000
2013-03-01,611.0834250000000000
2013-04-01,611.7603750000000000
2013-05-01,612.7583000000000000
2013-06-01,614.9483000000000000
2013-07-01,611.7988800000000000
2013-08-01,611.8113500000000000
2013-09-01,612.1662000000000000
2013-10-01,613.5754600000000000
2013-11-01,606.7976750000000000
2013-12-01,600.0893750000000000
2014-01-01,600.4106800000000000
2014-02-01,602.8361000000000000
2014-03-01,603.3588750000000000
2014-04-01,605.8642200000000000
2014-05-01,609.6045500000000000
2014-06-01,610.9442250000000000
2014-07-01,612.7312200000000000
2014-08-01,615.1634750000000000
2014-09-01,617.7187250000000000
2014-10-01,618.5780400000000000
2014-11-01,621.5961500000000000
2014-12-01,623.0961000000000000
2015-01-01,625.0707750000000000
2015-02-01,626.5267750000000000
2015-03-01,626.3865500000000000
2015-04-01,631.6458800000000000
2015-05-01,634.8295750000000000
2015-06-01,636.7673750000000000
2015-07-01,641.0916400000000000
2015-08-01,645.4493250000000000
2015-09-01,649.4562600000000000
2015-10-01,653.4066750000000000
2015-11-01,655.4490500000000000
2015-12-01,657.9526800000000000
2016-01-01,663.1644000000000000
2016-02-01,664.0423250000000000
2016-03-01,670.0339400000000000
2016-04-01,674.5763500000000000
2016-05-01,678.1988750000000000
2016-06-01,686.6362800000000000
2016-07-01,697.5325250000000000
2016-08-01,701.1165400000000000
2016-09-01,703.3960250000000000
2016-10-01,705.9220000000000000
2016-11-01,707.3162400000000000
2016-12-01,710.6406500000000000
2017-01-01,711.7999750000000000
2017-02-01,714.2283250000000000
2017-03-01,716.5368800000000000
2017-04-01,718.9839000000000000
2017-05-01,721.2176000000000000
2017-06-01,725.3724750000000000
2017-07-01,729.5315250000000000
2017-08-01,732.3319800000000000
2017-09-01,736.6085750000000000
2017-10-01,746.5837250000000000
2017-11-01,759.3722600000000000
2017-12-01,761.7556750000000000
2018-01-01,764.7885600000000000
2018-02-01,767.5500750000000000
2018-03-01,769.8663750000000000
2018-04-01,786.1274500000000000
2018-05-01,789.5403000000000000
2018-06-01,793.4069500000000000
2018-07-01,795.0686000000000000
